TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Cinq	O	_	O	_	_	O	_	_	_
pour	O	_	O	_	_	O	_	_	_
cent	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
jouis	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
vendém	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
an	O	_	O	_	_	O	_	_	_
12	O	_	O	_	_	O	_	_	NoSpaceAfter
,54	O	_	O	_	_	O	_	_	_
fr	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
8	O	_	O	_	_	O	_	_	_
î	O	_	O	_	_	O	_	_	_
c	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
go	O	_	O	_	_	O	_	_	_
c	O	_	O	_	_	O	_	_	_
.	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
8	O	_	O	_	_	O	_	_	_
S	O	_	O	_	_	O	_	_	_
c	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
Le	O	_	O	_	_	O	_	_	_
premier	O	_	O	_	_	O	_	_	_
consul	O	_	O	_	_	O	_	_	_
a	O	_	O	_	_	O	_	_	_
passé	O	_	O	_	_	O	_	_	_
hier	O	_	O	_	_	O	_	_	_
la	O	_	O	_	_	O	_	_	_
revue	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
Pavant	O	_	O	_	_	O	_	_	NoSpaceAfter
-	O	_	O	_	_	O	_	_	NoSpaceAfter
garde	O	_	O	_	_	O	_	_	_
des	O	_	O	_	_	O	_	_	_
troupes	O	_	O	_	_	O	_	_	_
italiennes	O	_	O	_	_	O	_	_	_
qui	O	_	O	_	_	O	_	_	_
se	O	_	O	_	_	O	_	_	_
rendent	O	_	O	_	_	O	_	_	_
au	O	_	O	_	_	O	_	_	_
camp	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
Saint	B-loc	_	B-loc.adm.town	_	_	O	_	_	NoSpaceAfter
-	I-loc	_	I-loc.adm.town	_	_	O	_	_	NoSpaceAfter
Omer	I-loc	_	I-loc.adm.town	_	_	O	_	_	_
;	O	_	O	_	_	O	_	_	_
elle	O	_	O	_	_	O	_	_	_
était	O	_	O	_	_	O	_	_	_
composée	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
la	O	_	O	_	_	O	_	_	_
première	O	_	O	_	_	O	_	_	_
demi	O	_	O	_	_	O	_	_	NoSpaceAfter
-	O	_	O	_	_	O	_	_	NoSpaceAfter
brigade	O	_	O	_	_	O	_	_	_
d	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
infanterie	O	_	O	_	_	O	_	_	_
légère	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
d	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
un	O	_	O	_	_	O	_	_	_
escadron	O	_	O	_	_	O	_	_	_
d	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
artillerie	O	_	O	_	_	O	_	_	_
à	O	_	O	_	_	O	_	_	_
cheval	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
d	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
une	O	_	O	_	_	O	_	_	_
compagnie	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
sapeurs	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
du	O	_	O	_	_	O	_	_	_
deuxième	O	_	O	_	_	O	_	_	_
régiment	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
hussards	O	_	O	_	_	O	_	_	_
Après	O	_	O	_	_	O	_	_	_
la	O	_	O	_	_	O	_	_	_
revue	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
les	O	_	O	_	_	O	_	_	_
officiers	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
sous	O	_	O	_	_	O	_	_	NoSpaceAfter
-	O	_	O	_	_	O	_	_	NoSpaceAfter
officiers	O	_	O	_	_	O	_	_	_
se	O	_	O	_	_	O	_	_	_
sont	O	_	O	_	_	O	_	_	_
formés	O	_	O	_	_	O	_	_	_
en	O	_	O	_	_	O	_	_	_
cercle	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
Le	O	_	O	_	_	O	_	_	_
premier	O	_	O	_	_	O	_	_	_
consul	O	_	O	_	_	O	_	_	_
leur	O	_	O	_	_	O	_	_	_
a	O	_	O	_	_	O	_	_	_
donné	O	_	O	_	_	O	_	_	_
leurs	O	_	O	_	_	O	_	_	_
drapeaux	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
étendards	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
Les	O	_	O	_	_	O	_	_	_
troupes	O	_	O	_	_	O	_	_	_
ont	O	_	O	_	_	O	_	_	_
ensuite	O	_	O	_	_	O	_	_	_
défilé	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
Le	O	_	O	_	_	O	_	_	_
premier	O	_	O	_	_	O	_	_	_
consul	O	_	O	_	_	O	_	_	_
a	O	_	O	_	_	O	_	_	_
été	O	_	O	_	_	O	_	_	_
satisfait	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
leur	O	_	O	_	_	O	_	_	_
instruction	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
leur	O	_	O	_	_	O	_	_	_
tenue	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
—	O	_	O	_	_	O	_	_	_
On	O	_	O	_	_	O	_	_	_
écrit	O	_	O	_	_	O	_	_	_
du	O	_	O	_	_	O	_	_	_
Havre	B-loc	_	B-loc.adm.town	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
le	O	_	O	_	_	O	_	_	_
ïj	O	_	O	_	_	O	_	_	_
:	O	_	O	_	_	O	_	_	_
,	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Aujourd	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
hui	O	_	O	_	_	O	_	_	_
trois	O	_	O	_	_	O	_	_	_
frégates	O	_	O	_	_	O	_	_	_
anglaises	O	_	O	_	_	O	_	_	_
ont	O	_	O	_	_	O	_	_	_
paru	O	_	O	_	_	O	_	_	_
sur	O	_	O	_	_	O	_	_	_
la	O	_	O	_	_	O	_	_	_
rade	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
ont	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
mouillé	O	_	O	_	_	O	_	_	_
à	O	_	O	_	_	O	_	_	_
quatre	O	_	O	_	_	O	_	_	_
lieues	O	_	O	_	_	O	_	_	_
environ	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
la	O	_	O	_	_	O	_	_	_
ville	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
ont	O	_	O	_	_	O	_	_	_
fait	O	_	O	_	_	O	_	_	_
entendre	O	_	O	_	_	O	_	_	_
plusieurs	O	_	O	_	_	O	_	_	_
décharges	O	_	O	_	_	O	_	_	_
d	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
artillerie	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
L	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
une	O	_	O	_	_	O	_	_	_
d	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
elle	O	_	O	_	_	O	_	_	_
nous	O	_	O	_	_	O	_	_	_
a	O	_	O	_	_	O	_	_	_
paru	O	_	O	_	_	O	_	_	_
être	O	_	O	_	_	O	_	_	_
pavoisée	O	_	O	_	_	O	_	_	_
;	O	_	O	_	_	O	_	_	_
nous	O	_	O	_	_	O	_	_	_
ignorons	O	_	O	_	_	O	_	_	_
le	O	_	O	_	_	O	_	_	_
motif	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
cette	O	_	O	_	_	O	_	_	_
réjouissance	O	_	O	_	_	O	_	_	_
extraordinaire	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
•	O	_	O	_	_	O	_	_	_
—	O	_	O	_	_	O	_	_	_
Le	O	_	O	_	_	O	_	_	_
journal	O	_	O	_	_	O	_	_	_
officiel	O	_	O	_	_	O	_	_	_
publie	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
en	O	_	O	_	_	O	_	_	_
trois	O	_	O	_	_	O	_	_	_
langues	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
latin	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
italien	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
français	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
le	O	_	O	_	_	O	_	_	_
concordat	O	_	O	_	_	O	_	_	_
conclu	O	_	O	_	_	O	_	_	_
entre	O	_	O	_	_	O	_	_	_
la	O	_	O	_	_	O	_	_	_
république	O	_	O	_	_	O	_	_	_
italienne	O	_	O	_	_	O	_	_	_
&	O	_	O	_	_	O	_	_	_
sa	O	_	O	_	_	O	_	_	_
sainteté	O	_	O	_	_	O	_	_	_
Pie	B-pers	_	B-pers.ind	_	_	O	_	_	_
VII	I-pers	_	I-pers.ind	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
&	O	_	O	_	_	O	_	_	_
dont	O	_	O	_	_	O	_	_	_
les	O	_	O	_	_	O	_	_	_
ratifications	O	_	O	_	_	O	_	_	_
ont	O	_	O	_	_	O	_	_	_
été	O	_	O	_	_	O	_	_	_
échangées	O	_	O	_	_	O	_	_	_
à	O	_	O	_	_	O	_	_	_
Paris	B-loc	_	B-loc.adm.town	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
le	O	_	O	_	_	O	_	_	_
16	O	_	O	_	_	O	_	_	_
septembre	O	_	O	_	_	O	_	_	_
T	O	_	O	_	_	O	_	_	_
§	O	_	O	_	_	O	_	_	_
O}	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
L	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
article	O	_	O	_	_	O	_	_	_
IV	O	_	O	_	_	O	_	_	_
porte	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
qu	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
en	O	_	O	_	_	O	_	_	_
considération	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
l	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
utilité	O	_	O	_	_	O	_	_	_
qui	O	_	O	_	_	O	_	_	_
résulte	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
ce	O	_	O	_	_	O	_	_	_
concordat	O	_	O	_	_	O	_	_	_
pour	O	_	O	_	_	O	_	_	_
l	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
église	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
la	O	_	O	_	_	O	_	_	_
religion	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
sa	O	_	O	_	_	O	_	_	_
sainteté	O	_	O	_	_	O	_	_	_
consent	O	_	O	_	_	O	_	_	_
à	O	_	O	_	_	O	_	_	_
ce	O	_	O	_	_	O	_	_	_
que	O	_	O	_	_	O	_	_	_
le	O	_	O	_	_	O	_	_	_
président	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
la	O	_	O	_	_	O	_	_	_
république	O	_	O	_	_	O	_	_	_
italienne	O	_	O	_	_	O	_	_	_
nomme	O	_	O	_	_	O	_	_	_
à	O	_	O	_	_	O	_	_	_
tous	O	_	O	_	_	O	_	_	_
les	O	_	O	_	_	O	_	_	_
archevêchés	O	_	O	_	_	O	_	_	_
&	O	_	O	_	_	O	_	_	_
évéchés	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
la	O	_	O	_	_	O	_	_	_
république	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
sa	O	_	O	_	_	O	_	_	_
sainteté	O	_	O	_	_	O	_	_	_
donnera	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
dans	O	_	O	_	_	O	_	_	_
les	O	_	O	_	_	O	_	_	_
formes	O	_	O	_	_	O	_	_	_
accoutumées	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
l	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
institution	O	_	O	_	_	O	_	_	_
canonique	O	_	O	_	_	O	_	_	_
aux	O	_	O	_	_	O	_	_	_
sujets	O	_	O	_	_	O	_	_	_
nommés	O	_	O	_	_	O	_	_	_
par	O	_	O	_	_	O	_	_	_
le	O	_	O	_	_	O	_	_	_
président	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
qui	O	_	O	_	_	O	_	_	_
auront	O	_	O	_	_	O	_	_	_
les	O	_	O	_	_	O	_	_	_
qualités	O	_	O	_	_	O	_	_	_
requises	O	_	O	_	_	O	_	_	_
par	O	_	O	_	_	O	_	_	_
les	O	_	O	_	_	O	_	_	_
saints	O	_	O	_	_	O	_	_	_
canons	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
Le	O	_	O	_	_	O	_	_	_
serment	O	_	O	_	_	O	_	_	_
prescrit	O	_	O	_	_	O	_	_	_
par	O	_	O	_	_	O	_	_	_
l	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
article	O	_	O	_	_	O	_	_	_
V	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
est	O	_	O	_	_	O	_	_	_
semblable	O	_	O	_	_	O	_	_	_
à	O	_	O	_	_	O	_	_	_
celui	O	_	O	_	_	O	_	_	_
des	O	_	O	_	_	O	_	_	_
évêquesfrançais	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
quant	O	_	O	_	_	O	_	_	_
à	O	_	O	_	_	O	_	_	_
l	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
obéissance	O	_	O	_	_	O	_	_	_
&	O	_	O	_	_	O	_	_	_
à	O	_	O	_	_	O	_	_	_
la	O	_	O	_	_	O	_	_	_
fidélité	O	_	O	_	_	O	_	_	_
au	O	_	O	_	_	O	_	_	_
gouvernement	O	_	O	_	_	O	_	_	_
établi	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
&	O	_	O	_	_	O	_	_	_
à	O	_	O	_	_	O	_	_	_
l	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
engagement	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
révéler	O	_	O	_	_	O	_	_	_
tout	O	_	O	_	_	O	_	_	_
ce	O	_	O	_	_	O	_	_	_
qui	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
à	O	_	O	_	_	O	_	_	_
leur	O	_	O	_	_	O	_	_	_
connaissance	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
pourrait	O	_	O	_	_	O	_	_	_
être	O	_	O	_	_	O	_	_	_
tramé	O	_	O	_	_	O	_	_	_
tant	O	_	O	_	_	O	_	_	_
au	O	_	O	_	_	O	_	_	NoSpaceAfter
-	O	_	O	_	_	O	_	_	NoSpaceAfter
dedans	O	_	O	_	_	O	_	_	_
qu	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
audehors	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
leur	O	_	O	_	_	O	_	_	_
diocèse	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
au	O	_	O	_	_	O	_	_	_
préjudice	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
l	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
état	O	_	O	_	_	O	_	_	_
L	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
article	O	_	O	_	_	O	_	_	_
XIV	O	_	O	_	_	O	_	_	_
porte	O	_	O	_	_	O	_	_	_
aussi	O	_	O	_	_	O	_	_	_
qu	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
aucun	O	_	O	_	_	O	_	_	_
curé	O	_	O	_	_	O	_	_	_
ne	O	_	O	_	_	O	_	_	_
pourra	O	_	O	_	_	O	_	_	_
être	O	_	O	_	_	O	_	_	_
forcé	O	_	O	_	_	O	_	_	_
à	O	_	O	_	_	O	_	_	_
administrer	O	_	O	_	_	O	_	_	_
le	O	_	O	_	_	O	_	_	_
sacrement	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
mariage	O	_	O	_	_	O	_	_	_
a	O	_	O	_	_	O	_	_	_
quicenque	O	_	O	_	_	O	_	_	_
se	O	_	O	_	_	O	_	_	_
trouvera	O	_	O	_	_	O	_	_	_
lié	O	_	O	_	_	O	_	_	_
par	O	_	O	_	_	O	_	_	_
quelqu	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
empêchcment	O	_	O	_	_	O	_	_	_
canonique	O	_	O	_	_	O	_	_	_
;	O	_	O	_	_	O	_	_	_
l	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
article	O	_	O	_	_	O	_	_	_
XV	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
qu	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
aucune	O	_	O	_	_	O	_	_	_
suppression	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
fondation	O	_	O	_	_	O	_	_	_
ecclésiastique	O	_	O	_	_	O	_	_	_
quelconque	O	_	O	_	_	O	_	_	_
ne	O	_	O	_	_	O	_	_	_
pourra	O	_	O	_	_	O	_	_	_
se	O	_	O	_	_	O	_	_	_
faire	O	_	O	_	_	O	_	_	_
sans	O	_	O	_	_	O	_	_	_
l	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
intervention	O	_	O	_	_	O	_	_	_
du	O	_	O	_	_	O	_	_	_
saint	O	_	O	_	_	O	_	_	NoSpaceAfter
-	O	_	O	_	_	O	_	_	NoSpaceAfter
siege	O	_	O	_	_	O	_	_	_
apostolique	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
Par	O	_	O	_	_	O	_	_	_
l	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
article	O	_	O	_	_	O	_	_	_
XVI	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
sa	O	_	O	_	_	O	_	_	_
sainteté	O	_	O	_	_	O	_	_	_
déclare	O	_	O	_	_	O	_	_	_
