TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
ein	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
sie	O	_	O	_	_	O	_	_	_
brachten	O	_	O	_	_	O	_	_	_
schreckensbleichen	O	_	O	_	_	O	_	_	_
Angesichts	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	NoSpaceAfter
Kunde	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
daß	O	_	O	_	_	O	_	_	_
der	O	_	O	_	_	O	_	_	_
Landeshauptmann	O	_	O	_	_	O	_	_	_
Alt	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
Jung	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
ob	O	_	O	_	_	O	_	_	NoSpaceAfter
des	O	_	O	_	_	O	_	_	_
Aufstandes	O	_	O	_	_	O	_	_	_
schuldig	O	_	O	_	_	O	_	_	_
oder	O	_	O	_	_	O	_	_	_
nicht	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
auf	O	_	O	_	_	O	_	_	_
das	O	_	O	_	_	O	_	_	_
unbarm¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine
herzigste	O	_	O	_	_	O	_	_	_
brandschatze	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
daß	O	_	O	_	_	O	_	_	_
er	O	_	O	_	_	O	_	_	_
seine	O	_	O	_	_	O	_	_	_
Ratzen	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
Bauern	O	_	O	_	_	O	_	_	NoSpaceAfter
zu	O	_	O	_	_	O	_	_	_
Dutzenden	O	_	O	_	_	O	_	_	_
spießen	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
schinden	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
viertheilen	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	NoSpaceAfter
gegen	O	_	O	_	_	O	_	_	_
Frauen	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
Jungfrauen	O	_	O	_	_	O	_	_	_
unmenschlicher	O	_	O	_	_	O	_	_	_
als	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	NoSpaceAfter
Türken	O	_	O	_	_	O	_	_	_
wüthen	O	_	O	_	_	O	_	_	_
lasse	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
Da	O	_	O	_	_	O	_	_	_
hättet	O	_	O	_	_	O	_	_	_
ihr	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
Unseren	O	_	O	_	_	O	_	_	_
sehen	O	_	O	_	_	O	_	_	NoSpaceAfter
sollen	O	_	O	_	_	O	_	_	NoSpaceAfter
!	O	_	O	_	_	O	_	_	_
Sie	O	_	O	_	_	O	_	_	_
schrien	O	_	O	_	_	O	_	_	_
Rache	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
griffen	O	_	O	_	_	O	_	_	_
nach	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	_
Waffen	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
und	O	_	O	_	_	O	_	_	_
nur	O	_	O	_	_	O	_	_	_
mit	O	_	O	_	_	O	_	_	_
Mühe	O	_	O	_	_	O	_	_	_
vermochten	O	_	O	_	_	O	_	_	_
Reustl	B-PER	_	O	_	_	O	NIL	_	_
und	O	_	O	_	_	O	_	_	_
ich	O	_	O	_	_	O	_	_	_
einige	O	_	O	_	_	O	_	_	NoSpaceAfter
Ordnung	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
von	O	_	O	_	_	O	_	_	_
Kampflust	O	_	O	_	_	O	_	_	_
erglühenden	O	_	O	_	_	O	_	_	_
Haufen	O	_	O	_	_	O	_	_	NoSpaceAfter
zu	O	_	O	_	_	O	_	_	_
bringen	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
Steiermärker	O	_	O	_	_	O	_	_	_
wie	O	_	O	_	_	O	_	_	_
Pinzgauer	O	_	O	_	_	O	_	_	_
nur	O	_	O	_	_	O	_	_	_
noch	O	_	O	_	_	O	_	_	NoSpaceAfter
einige	O	_	O	_	_	O	_	_	_
Stunden	O	_	O	_	_	O	_	_	_
im	O	_	O	_	_	O	_	_	_
Zaum	O	_	O	_	_	O	_	_	_
zu	O	_	O	_	_	O	_	_	_
halten	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
Wir	O	_	O	_	_	O	_	_	_
aber	O	_	O	_	_	O	_	_	NoSpaceAfter
brauchten	O	_	O	_	_	O	_	_	_
kein	O	_	O	_	_	O	_	_	_
langes	O	_	O	_	_	O	_	_	_
Berathen	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
wir	O	_	O	_	_	O	_	_	_
fragten	O	_	O	_	_	O	_	_	_
uns	O	_	O	_	_	O	_	_	_
nur	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
ob	O	_	O	_	_	O	_	_	_
wir	O	_	O	_	_	O	_	_	_
dem	O	_	O	_	_	O	_	_	_
Wortbrüchigen	O	_	O	_	_	O	_	_	_
Wort	O	_	O	_	_	O	_	_	_
halten	O	_	O	_	_	O	_	_	_
oder	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	NoSpaceAfter
blutigen	O	_	O	_	_	O	_	_	_
Mord	O	_	O	_	_	O	_	_	_
mit	O	_	O	_	_	O	_	_	_
tapferer	O	_	O	_	_	O	_	_	_
Faust	O	_	O	_	_	O	_	_	_
rächen	O	_	O	_	_	O	_	_	_
sollten	O	_	O	_	_	O	_	_	NoSpaceAfter
?	O	_	O	_	_	O	_	_	_
—	O	_	O	_	_	O	_	_	NoSpaceAfter
Die	O	_	O	_	_	O	_	_	_
Antwort	O	_	O	_	_	O	_	_	_
konnte	O	_	O	_	_	O	_	_	_
nicht	O	_	O	_	_	O	_	_	_
zweifelhaft	O	_	O	_	_	O	_	_	_
sein	O	_	O	_	_	O	_	_	NoSpaceAfter
!	O	_	O	_	_	O	_	_	_
Nach	O	_	O	_	_	O	_	_	NoSpaceAfter
Mitternacht	O	_	O	_	_	O	_	_	_
brachen	O	_	O	_	_	O	_	_	_
wir	O	_	O	_	_	O	_	_	_
auf	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	_
geraden	O	_	O	_	_	O	_	_	_
Weg	O	_	O	_	_	O	_	_	_
meidend	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
zogen	O	_	O	_	_	O	_	_	_
wir	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
der	O	_	O	_	_	O	_	_	_
Sommernacht	O	_	O	_	_	O	_	_	_
über	O	_	O	_	_	O	_	_	_
das	O	_	O	_	_	O	_	_	_
wilde	O	_	O	_	_	O	_	_	_
Ge¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine
birg	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
trafen	O	_	O	_	_	O	_	_	_
just	O	_	O	_	_	O	_	_	_
vor	O	_	O	_	_	O	_	_	_
Schladming	B-LOC	_	O	_	_	O	Q254221	_	_
ein	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
als	O	_	O	_	_	O	_	_	_
es	O	_	O	_	_	O	_	_	_
vom	O	_	O	_	_	O	_	_	NoSpaceAfter
Thurm	O	_	O	_	_	O	_	_	_
vier	O	_	O	_	_	O	_	_	_
Uhr	O	_	O	_	_	O	_	_	_
Morgens	O	_	O	_	_	O	_	_	_
schlug	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
Die	O	_	O	_	_	O	_	_	_
Wachen	O	_	O	_	_	O	_	_	NoSpaceAfter
schrien	O	_	O	_	_	O	_	_	_
Lärm	O	_	O	_	_	O	_	_	_
bei	O	_	O	_	_	O	_	_	_
unserem	O	_	O	_	_	O	_	_	_
Nahen	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
wir	O	_	O	_	_	O	_	_	_
aber	O	_	O	_	_	O	_	_	_
fielen	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
eh	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
die	O	_	O	_	_	O	_	_	_
Schläfer	O	_	O	_	_	O	_	_	_
sich	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
Augen	O	_	O	_	_	O	_	_	_
ausgerieben	O	_	O	_	_	O	_	_	_
hatten	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
mit	O	_	O	_	_	O	_	_	NoSpaceAfter
wilden	O	_	O	_	_	O	_	_	_
Schlachtrufen	O	_	O	_	_	O	_	_	_
über	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
Söldner	O	_	O	_	_	O	_	_	_
vor	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	_
Mauern	O	_	O	_	_	O	_	_	NoSpaceAfter
her	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
unsere	O	_	O	_	_	O	_	_	_
Spieße	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
Sensen	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Schwerter	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	NoSpaceAfter
Messer	O	_	O	_	_	O	_	_	_
trieften	O	_	O	_	_	O	_	_	_
von	O	_	O	_	_	O	_	_	_
Blut	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
Im	O	_	O	_	_	O	_	_	_
Nu	O	_	O	_	_	O	_	_	_
hatten	O	_	O	_	_	O	_	_	_
wir	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	NoSpaceAfter
böhmischen	O	_	O	_	_	O	_	_	_
Stückknechte	O	_	O	_	_	O	_	_	_
niedergemacht	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
Geschütze	O	_	O	_	_	O	_	_	NoSpaceAfter
in	O	_	O	_	_	O	_	_	_
unseren	O	_	O	_	_	O	_	_	_
Händen	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
gleich	O	_	O	_	_	O	_	_	_
Bären	O	_	O	_	_	O	_	_	_
schlugen	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
Unseren	O	_	O	_	_	O	_	_	NoSpaceAfter
auf	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
Feinde	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
was	O	_	O	_	_	O	_	_	_
nicht	O	_	O	_	_	O	_	_	_
entrann	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
wurde	O	_	O	_	_	O	_	_	_
getödtet	O	_	O	_	_	O	_	_	NoSpaceAfter
oder	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
Wogen	O	_	O	_	_	O	_	_	_
der	O	_	O	_	_	O	_	_	_
schäumenden	O	_	O	_	_	O	_	_	_
Enns	O	_	O	_	_	O	_	_	_
getrieben	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence
Mit	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	_
Fliehenden	O	_	O	_	_	O	_	_	_
drangen	O	_	O	_	_	O	_	_	_
wir	O	_	O	_	_	O	_	_	_
durch	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
Thore	O	_	O	_	_	O	_	_	_
von	O	_	O	_	_	O	_	_	NoSpaceAfter
Schladming	B-LOC	_	O	_	_	O	Q254221	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
denn	O	_	O	_	_	O	_	_	_
jetzt	O	_	O	_	_	O	_	_	_
galt	O	_	O	_	_	O	_	_	_
es	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	_
Herren	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
Adeligen	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
die	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
hinter	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	_
Mauern	O	_	O	_	_	O	_	_	_
sich	O	_	O	_	_	O	_	_	_
sicher	O	_	O	_	_	O	_	_	_
wähnend	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
schlaftrunken	O	_	O	_	_	O	_	_	NoSpaceAfter
noch	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	_
Federn	O	_	O	_	_	O	_	_	_
lagen	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence
"	O	_	O	_	_	O	_	_	_
(	O	_	O	_	_	O	_	_	NoSpaceAfter
Fortsetzung	O	_	O	_	_	O	_	_	_
folgt	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence
)	O	_	O	_	_	O	_	_	NoSpaceAfter
und	O	_	O	_	_	O	_	_	_
Antiliberalen	O	_	O	_	_	O	_	_	_
aus	O	_	O	_	_	O	_	_	_
ihren	O	_	O	_	_	O	_	_	_
Verstecken	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
Oeffentlich¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine
keit	O	_	O	_	_	O	_	_	_
treiben	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence
Die	O	_	O	_	_	O	_	_	_
Wiener	O	_	O	_	_	O	_	_	_
Liberalen	O	_	O	_	_	O	_	_	_
haben	O	_	O	_	_	O	_	_	_
noch	O	_	O	_	_	O	_	_	_
immer	O	_	O	_	_	O	_	_	_
kein	O	_	O	_	_	O	_	_	NoSpaceAfter
Programm	O	_	O	_	_	O	_	_	_
für	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
Wahlen	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
ihr	O	_	O	_	_	O	_	_	_
Versuch	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
sich	O	_	O	_	_	O	_	_	_
eine	O	_	O	_	_	O	_	_	NoSpaceAfter
Die	O	_	O	_	_	O	_	_	_
Wiener	O	_	O	_	_	O	_	_	_
Liberalen	O	_	O	_	_	O	_	_	_
haben	O	_	O	_	_	O	_	_	_
noch	O	_	O	_	_	O	_	_	_
immer	O	_	O	_	_	O	_	_	_
kein	O	_	O	_	_	O	_	_	NoSpaceAfter
Programm	O	_	O	_	_	O	_	_	_
für	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
Wahlen	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
ihr	O	_	O	_	_	O	_	_	_
Versuch	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
sich	O	_	O	_	_	O	_	_	_
eine	O	_	O	_	_	O	_	_	NoSpaceAfter
neue	O	_	O	_	_	O	_	_	_
Organisation	O	_	O	_	_	O	_	_	_
zu	O	_	O	_	_	O	_	_	_
geben	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
welcher	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
Drahtzieher	O	_	O	_	_	O	_	_	NoSpaceAfter
von	O	_	O	_	_	O	_	_	_
der	O	_	O	_	_	O	_	_	_
Sorte	O	_	O	_	_	O	_	_	_
Dr	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
Richter	B-PER	_	O	_	_	O	NIL	_	NoSpaceAfter
'	I-PER	_	O	_	_	O	NIL	_	NoSpaceAfter
s	I-PER	_	O	_	_	O	NIL	_	_
unumschränkte	O	_	O	_	_	O	_	_	_
Gewalt	O	_	O	_	_	O	_	_	_
aus¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine
üben	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
ist	O	_	O	_	_	O	_	_	_
gescheitert	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
Dr	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
Richter	B-PER	_	O	_	_	O	NIL	_	_
wollte	O	_	O	_	_	O	_	_	_
eine	O	_	O	_	_	O	_	_	_
hochnoth¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine
einliche	O	_	O	_	_	O	_	_	_
Halsgerichtsordnung	O	_	O	_	_	O	_	_	_
für	O	_	O	_	_	O	_	_	_
alle	O	_	O	_	_	O	_	_	_
Kandidaten	O	_	O	_	_	O	_	_	NoSpaceAfter
dekretiren	O	_	O	_	_	O	_	_	_
lassen	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
nach	O	_	O	_	_	O	_	_	_
welcher	O	_	O	_	_	O	_	_	_
jeder	O	_	O	_	_	O	_	_	_
von	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	_
Liberalen	O	_	O	_	_	O	_	_	NoSpaceAfter
Gewählte	O	_	O	_	_	O	_	_	_
verpflichtet	O	_	O	_	_	O	_	_	_
wäre	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
bei	O	_	O	_	_	O	_	_	_
einem	O	_	O	_	_	O	_	_	_
Meinungsunter¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine
schied	O	_	O	_	_	O	_	_	_
mit	O	_	O	_	_	O	_	_	_
dem	O	_	O	_	_	O	_	_	_
Fortschrittsklub	O	_	O	_	_	O	_	_	_
sein	O	_	O	_	_	O	_	_	_
Mandat	O	_	O	_	_	O	_	_	_
nieder¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine
zulegen	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
Dagegen	O	_	O	_	_	O	_	_	_
lehnte	O	_	O	_	_	O	_	_	_
sich	O	_	O	_	_	O	_	_	_
der	O	_	O	_	_	O	_	_	_
gewesene	O	_	O	_	_	O	_	_	_
Gemeinderath	O	_	O	_	_	O	_	_	_
Dr	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence
Hackenberg	B-PER	_	O	_	_	O	NIL	_	_
auf	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
setzte	O	_	O	_	_	O	_	_	_
auch	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
einer	O	_	O	_	_	O	_	_	_
Versammlung	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	NoSpaceAfter
Beschluß	O	_	O	_	_	O	_	_	_
durch	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
daß	O	_	O	_	_	O	_	_	_
bei	O	_	O	_	_	O	_	_	_
einem	O	_	O	_	_	O	_	_	_
Meinungsunterschied	O	_	O	_	_	O	_	_	NoSpaceAfter
der	O	_	O	_	_	O	_	_	_
Gewählte	O	_	O	_	_	O	_	_	_
das	O	_	O	_	_	O	_	_	_
Votum	O	_	O	_	_	O	_	_	_
der	O	_	O	_	_	O	_	_	_
Wählerschaft	O	_	O	_	_	O	_	_	_
einzuholen	O	_	O	_	_	O	_	_	NoSpaceAfter
habe	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
Darob	O	_	O	_	_	O	_	_	_
geriethen	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
liberalen	O	_	O	_	_	O	_	_	_
Blätter	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	NoSpaceAfter
größte	O	_	O	_	_	O	_	_	_
Entrüstung	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
das	O	_	O	_	_	O	_	_	_
„	O	_	O	_	_	O	_	_	NoSpaceAfter
Wiener	O	_	O	_	_	O	_	_	_
Tagblatt	O	_	O	_	_	O	_	_	NoSpaceAfter
"	O	_	O	_	_	O	_	_	_
war	O	_	O	_	_	O	_	_	NoSpaceAfter
sogar	O	_	O	_	_	O	_	_	_
so	O	_	O	_	_	O	_	_	_
unvorsichtig	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
über	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
liberalen	O	_	O	_	_	O	_	_	_
Wähler	O	_	O	_	_	O	_	_	_
das	O	_	O	_	_	O	_	_	NoSpaceAfter
treffende	O	_	O	_	_	O	_	_	_
Urtheil	O	_	O	_	_	O	_	_	_
zu	O	_	O	_	_	O	_	_	_
